"","title","date","company","salary","maxsal","minsal","location","summary","link"
"304","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","70,000 - 90,000","90,000","70,000","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"305","Data Scientist","8","Cognowiz solutions LLC","81,078 - 129,709","129,709","81,078","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"306","Data Scientist","Just posted","Dataiku","",NA,NA,"New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"307","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 177,616","177,616","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"308","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"309","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"310","Supply Chain Data Scientist","Just posted","TCS","130,000 - 140,000","140,000","130,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"311","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","56,879 - 133,465","133,465","56,879","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"312","Data Scientist","7","ACHNET Inc","70,000 - 90,000","90,000","70,000","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"313","Data Scientist","20","RMDS Lab, Inc","81,078 - 129,709","129,709","81,078","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"314","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"315","Data Scientist - AI/ML Engineer","Today","Softnice","70,000 - 177,616","177,616","70,000","Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"316","Data Scientist","Just posted","Caterpillar","",NA,NA,"Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"317","Data Scientist","28","BICP","",NA,NA,"Portland, OR","Possess end-to-end data expertise including data sourcing, consolidation, integration, manipulation and visualization.","https://www.indeed.com/company/BICP/jobs/Data-Scientist-a04c89acee43bb71?fccid=74ad6aafaf75e1a3&vjs=3"
"318","Senior Data Scientist","Today","Zdaly","85,000 - 150,000","150,000","85,000","Houston, TX","Zdaly data intelligence platform unifies data science, machine learning and external factors to deliver breakthrough business insights.","https://www.indeed.com/company/Zdaly/jobs/Senior-Data-Scientist-fc868ba3bf350c25?fccid=fe741f13e72fdaee&vjs=3"
"319","Data Scientist","Today","SourceDay","112,853 - 204,864","204,864","112,853","Austin, TX","Present information using data visualization techniques.","https://www.indeed.com/rc/clk?jk=b2791f3f89e7eeb9&fccid=54eb66e1f0b4c750&vjs=3"
"320","analyst & data scientist","Today","Clarity Campaign Labs","56,879 - 133,465","133,465","56,879","Washington, DC","Create data visualizations and maps to effectively communicate trends and analysis.","https://www.indeed.com/rc/clk?jk=68011ffc792c1cc8&fccid=274f4f0e41801701&vjs=3"
"321","Data Scientist","Just posted","Analog Devices","70,000 - 90,000","90,000","70,000","Norwood, MA","Perform data analysis to generate business insights.","https://www.indeed.com/rc/clk?jk=057da96196b18f5a&fccid=795688f508690d17&vjs=3"
"322","Data Scientist","4","RS21","81,078 - 129,709","129,709","81,078","Arlington, VA","Proficiency with modern approaches in data analytics (e.g., statistics, machine learning, econometrics).","https://www.indeed.com/rc/clk?jk=5ef518d03638c56b&fccid=294d5debc2c11988&vjs=3"
"323","Senior Data Scientist","Today","Headcheckit.com","",NA,NA,NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"324","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","85,000 - 150,000","150,000","85,000","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"325","Data Scientist","8","Cognowiz solutions LLC","112,853 - 204,864","204,864","112,853","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"326","Data Scientist","Just posted","Dataiku","56,879 - 133,465","133,465","56,879","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"327","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 90,000","90,000","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"328","Data Scientist (Junior)","30","KBR","81,078 - 129,709","129,709","81,078","Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"329","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"330","Supply Chain Data Scientist","Just posted","TCS","85,000 - 150,000","150,000","85,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"331","Clinical Data Scientist","30","Nucleus","112,853 - 204,864","204,864","112,853","Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5WQvtQprKp0p0ydH7ZEXPNOEzF5cGpXto-wkJqAXjV_WsePJp-VTTuDApGWdKADmchcPtPjjyE3WjOy2yEu9cln4sQovBPerXer8MYQjrG9LKGDU7c52UvwPiGx_R1PeYZFOYDQzuumGwzcywxJOZEP7ffrvr6i5iUghNISBjYcAWG1FCQH0BENHpl6pshlxDDJ0PqhAwpYuWwtcMbyu_DgCCrDYlwbMkXjPa7WBYqgCJo6uP9V1m4hXCuagIUGp3l7t19mEGc-VFDJnCvEe28KorUhnyPUx9A==&p=13&fvj=1&vjs=3"
"332","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","56,879 - 133,465","133,465","56,879","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"333","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","56,879 - 133,465","133,465","56,879","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"334","Data Scientist","8","Cognowiz solutions LLC","70,000 - 90,000","90,000","70,000","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"335","Data Scientist","Just posted","Dataiku","81,078 - 129,709","129,709","81,078","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"336","Co-op Data Scientist 2021","30","The Hershey Company","",NA,NA,"Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"337","Data Scientist (Junior)","30","KBR","70,000 - 177,616","177,616","70,000","Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"338","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"339","Supply Chain Data Scientist","Just posted","TCS","",NA,NA,"Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"340","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","130,000 - 140,000","140,000","130,000","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"341","Data Scientist","7","ACHNET Inc","56,879 - 133,465","133,465","56,879","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"342","Data Scientist","20","RMDS Lab, Inc","70,000 - 90,000","90,000","70,000","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"343","Forward Deployed Data Scientist","13","Cresta","81,078 - 129,709","129,709","81,078",NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"344","Data Scientist - AI/ML Engineer","Today","Softnice","",NA,NA,"Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"345","Data Scientist","Just posted","Caterpillar","70,000 - 177,616","177,616","70,000","Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"346","Data Scientist","28","BICP","",NA,NA,"Portland, OR","Possess end-to-end data expertise including data sourcing, consolidation, integration, manipulation and visualization.","https://www.indeed.com/company/BICP/jobs/Data-Scientist-a04c89acee43bb71?fccid=74ad6aafaf75e1a3&vjs=3"
"347","Data Scientist","Today","Advance Local","",NA,NA,"New York, NY","Experience using statistics, propensity model building, and algorithms to manipulate data and draw insights from large data sets.","https://www.indeed.com/rc/clk?jk=bd190f5ad577a404&fccid=31a0500c8ccc54ba&vjs=3"
"348","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","56,879 - 133,465","133,465","56,879","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"349","Clinical Data Scientist","30","Nucleus","70,000 - 90,000","90,000","70,000","Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5WQvtQprKp0paUxI6AEcH7LFWsTEuSx6J-a7OE9_tiZX5SxVFWarluLK00aMwHwwH1NiO49lJNMPLGrRQpKWc4wS58JWOkwmWt9VS2J73DMguqIY1lwRbuM2qEM2unAdBsdlGfXByhccrvAzke3uBq4KL5pmlvz-_goHXXk4FJujmgoDds9N-vaLFEdtPD1_lQ4g7IT7OuzeV4Apa5M58kumMsZ89h-X4XB37ffYgwQHSTgbcP98rC16F0pVilBxEL_Y6ej-H8Mgt6zzeYiyl8ZRw_zbhOvruw==&p=1&fvj=1&vjs=3"
"350","Data Scientist","8","Cognowiz solutions LLC","81,078 - 129,709","129,709","81,078","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"351","Data Scientist","Just posted","Dataiku","",NA,NA,"New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"352","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 177,616","177,616","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"353","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"354","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"355","Supply Chain Data Scientist","Just posted","TCS","130,000 - 140,000","140,000","130,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"356","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","56,879 - 133,465","133,465","56,879","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"357","Data Scientist","7","ACHNET Inc","70,000 - 90,000","90,000","70,000","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"358","Data Scientist","20","RMDS Lab, Inc","81,078 - 129,709","129,709","81,078","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab,-Inc/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"359","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"360","Data Scientist - AI/ML Engineer","Today","Softnice","70,000 - 177,616","177,616","70,000","Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"361","Data Scientist","Just posted","Caterpillar","",NA,NA,"Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"362","Data Scientist","28","BICP","",NA,NA,"Portland, OR","Possess end-to-end data expertise including data sourcing, consolidation, integration, manipulation and visualization.","https://www.indeed.com/company/BICP/jobs/Data-Scientist-a04c89acee43bb71?fccid=74ad6aafaf75e1a3&vjs=3"
"363","Data Scientist","Just posted","Alto Neuroscience, Inc","56,879 - 133,465","133,465","56,879","San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"364","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","70,000 - 90,000","90,000","70,000","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"365","Data Scientist","8","Cognowiz solutions LLC","81,078 - 129,709","129,709","81,078","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"366","Clinical Data Scientist","30","Nucleus","",NA,NA,"Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5WQvtQprKp0pjDnbmukBbotFidQSZjypa1Dv7etGzzqay2xVmfy_4s1xOuMJZgTwWXZwebEQhGqWjOKKnLF4L3VQeCuV4fGSrYhyMXXRlRU0aZ9lrGV1_VwBFf28bsMTpcAwmTYFpOcNDjceAMpAHT__JCxBYNc85j6L8nnq7V4srEjotNuwx5mADQFdYxwe7VHS_dyyV-YO6b_gX9g2OlvfVVZgz3paFAlrr9uNsoD_x4oppZUX81D6XWP5GSqrNNjlmvxkFnmYXUieIEBG3uenLW7NCKR5zQ==&p=3&fvj=1&vjs=3"
"367","Data Scientist","Just posted","Dataiku","70,000 - 177,616","177,616","70,000","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"368","Co-op Data Scientist 2021","30","The Hershey Company","",NA,NA,"Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"369","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"370","Data Scientist, Intermediate","13","UVA Medical Center","56,879 - 133,465","133,465","56,879","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"371","Supply Chain Data Scientist","Just posted","TCS","70,000 - 90,000","90,000","70,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"372","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","81,078 - 129,709","129,709","81,078","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"373","Data Scientist","7","ACHNET Inc","",NA,NA,"Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"374","Data Scientist","20","RMDS Lab, Inc","70,000 - 177,616","177,616","70,000","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab,-Inc/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"375","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"376","Data Scientist - AI/ML Engineer","Today","Softnice","",NA,NA,"Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"377","Data Scientist","Just posted","Caterpillar","56,879 - 133,465","133,465","56,879","Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"378","Data Scientist","4","RS21","112,853 - 204,864","204,864","112,853","Arlington, VA","Proficiency with modern approaches in data analytics (e.g., statistics, machine learning, econometrics).","https://www.indeed.com/rc/clk?jk=5ef518d03638c56b&fccid=294d5debc2c11988&vjs=3"
"379","Senior Data Scientist","Today","Headcheckit.com","56,879 - 133,465","133,465","56,879",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"380","Data Scientist","Just posted","Alto Neuroscience, Inc","70,000 - 90,000","90,000","70,000","San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"381","Statistician (Data Scientist) - Interdisciplinary","Just posted","US Department of the Treasury","81,078 - 129,709","129,709","81,078","Washington, DC","Experience applying a range of analytic approaches, including (but not limited to) machine learning, text analytics, and natural language processing; graph…","https://www.indeed.com/rc/clk?jk=785915c5873817c7&fccid=77d686781c96824e&vjs=3"
"382","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"383","Data Scientist","Just posted","Dataiku","70,000 - 177,616","177,616","70,000","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"384","Co-op Data Scientist 2021","30","The Hershey Company","",NA,NA,"Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"385","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"386","Data Scientist, Intermediate","13","UVA Medical Center","112,853 - 204,864","204,864","112,853","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"387","Supply Chain Data Scientist","Just posted","TCS","56,879 - 133,465","133,465","56,879","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"388","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","70,000 - 90,000","90,000","70,000","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"389","Data Scientist","7","ACHNET Inc","81,078 - 129,709","129,709","81,078","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"390","Data Scientist","20","RMDS Lab, Inc","",NA,NA,"South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"391","Forward Deployed Data Scientist","13","Cresta","70,000 - 177,616","177,616","70,000",NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
